                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 0.7744,                0.75712,                 1.2177,                0.45348,                0.36393,                0.34022,                0.21125,                 1.7867,                 2.6444,                 2.2125,                 0.0701,              0.0033222,              0.0033222
                      1,                0.79083,                0.74347,                 1.2195,                0.36619,                0.37538,                0.32683,                0.20052,                 1.8843,                 2.4242,                 2.3157,               0.039969,              0.0065237,              0.0065237
                      2,                0.86324,                0.85554,                 1.2768,                0.43012,                0.33884,                0.30852,                0.18367,                 2.0791,                 2.6564,                 2.7157,              0.0097048,              0.0095933,              0.0095933
                      3,                0.95217,                0.99642,                 1.3487,                0.42441,                0.33876,                0.31584,                0.16948,                 1.8012,                 2.5701,                 2.2124,               0.009406,               0.009406,               0.009406
                      4,                0.97464,                 1.0349,                  1.364,                0.45239,                0.31848,                0.30933,                  0.173,                 1.8474,                 2.5029,                 2.3014,               0.009406,               0.009406,               0.009406
                      5,                0.98175,                 1.0466,                 1.3723,                0.34961,                0.39957,                0.31834,                0.18748,                 1.9248,                  2.403,                 2.3455,               0.009208,               0.009208,               0.009208
                      6,                0.96435,                 1.0179,                 1.3619,                 0.4073,                0.33414,                0.31542,                0.18405,                 1.8391,                 2.4798,                  2.283,                0.00901,                0.00901,                0.00901
                      7,                0.95878,                0.99577,                 1.3543,                0.49577,                0.33496,                0.33452,                0.20446,                 1.8567,                 2.3716,                 2.2796,               0.008812,               0.008812,               0.008812
                      8,                0.93358,                0.97169,                 1.3288,                0.41118,                0.34202,                 0.3111,                0.19937,                 1.7455,                 2.4911,                 2.1087,               0.008614,               0.008614,               0.008614
                      9,                0.93411,                 0.9645,                 1.3283,                0.42002,                0.38057,                0.33309,                 0.2006,                 1.7685,                 2.6292,                 2.1691,               0.008416,               0.008416,               0.008416
                     10,                0.92151,                0.92384,                  1.318,                0.39129,                0.30987,                0.30243,                0.18571,                  1.989,                 2.5866,                  2.492,               0.008218,               0.008218,               0.008218
                     11,                0.89634,                0.88453,                 1.2936,                 0.3225,                0.31818,                  0.285,                 0.1777,                 1.8114,                 2.5372,                 2.2029,                0.00802,                0.00802,                0.00802
                     12,                0.89395,                 0.8904,                 1.2905,                0.37361,                0.34509,                0.28361,                0.18765,                 1.8384,                   2.57,                   2.29,               0.007822,               0.007822,               0.007822
                     13,                0.88562,                0.88168,                 1.2897,                0.33865,                0.34833,                0.29062,                0.18466,                 1.8775,                  2.601,                 2.3424,               0.007624,               0.007624,               0.007624
                     14,                0.87462,                0.86222,                 1.2816,                0.42558,                 0.3344,                0.31394,                0.18861,                 1.7642,                 2.4684,                 2.1899,               0.007426,               0.007426,               0.007426
                     15,                0.85937,                 0.8365,                  1.268,                0.34408,                0.34573,                0.29523,                 0.1876,                 1.8363,                 2.6104,                 2.2667,               0.007228,               0.007228,               0.007228
                     16,                0.85431,                0.81747,                 1.2623,                0.45825,                0.31126,                 0.3171,                0.19502,                 1.9453,                  2.641,                 2.3182,                0.00703,                0.00703,                0.00703
                     17,                0.83301,                0.79832,                  1.255,                0.37683,                0.38189,                0.31146,                0.19214,                 1.9729,                 2.5267,                 2.4626,               0.006832,               0.006832,               0.006832
                     18,                0.83264,                0.77491,                  1.242,                0.42847,                0.34702,                0.31422,                0.18196,                 1.9695,                 2.5993,                 2.4699,               0.006634,               0.006634,               0.006634
                     19,                0.82081,                0.77804,                 1.2415,                0.39672,                0.34637,                0.30072,                0.19188,                 1.9021,                 2.7037,                 2.3808,               0.006436,               0.006436,               0.006436
                     20,                0.80691,                 0.7513,                 1.2202,                0.43215,                0.32499,                0.30292,                0.19049,                 1.8358,                 2.6354,                 2.2999,               0.006238,               0.006238,               0.006238
                     21,                0.79551,                0.74591,                 1.2226,                0.43624,                0.34987,                0.32369,                0.19617,                 1.9965,                 2.6271,                 2.5377,                0.00604,                0.00604,                0.00604
                     22,                0.79223,                0.72413,                 1.2091,                0.34127,                0.35173,                0.30675,                0.19894,                 1.7604,                 2.5638,                 2.1818,               0.005842,               0.005842,               0.005842
                     23,                0.77732,                0.71533,                 1.2047,                0.42054,                0.37123,                0.32092,                 0.2073,                 1.7994,                 2.5471,                 2.2462,               0.005644,               0.005644,               0.005644
                     24,                0.76978,                0.71287,                 1.2002,                 0.3937,                0.37396,                0.31341,                0.19939,                 1.7884,                 2.6274,                    2.4,               0.005446,               0.005446,               0.005446
                     25,                0.75939,                0.68745,                 1.1873,                0.42908,                 0.3467,                0.31931,                0.20104,                 1.7788,                  2.732,                  2.313,               0.005248,               0.005248,               0.005248
                     26,                0.74616,                0.66688,                 1.1778,                 0.3857,                0.33213,                0.30117,                0.19653,                 1.7129,                 2.6333,                 2.1823,                0.00505,                0.00505,                0.00505
                     27,                0.72594,                0.65805,                 1.1681,                0.37948,                0.36211,                 0.3286,                0.20063,                 1.7296,                 2.5947,                 2.2331,               0.004852,               0.004852,               0.004852
                     28,                0.73256,                0.66083,                 1.1761,                0.43942,                0.32399,                0.31014,                0.19886,                  1.855,                 2.6732,                 2.3667,               0.004654,               0.004654,               0.004654
                     29,                 0.7219,                0.63737,                  1.163,                0.46657,                0.30863,                0.31208,                0.20249,                 1.8313,                 2.7555,                 2.2975,               0.004456,               0.004456,               0.004456
                     30,                 0.7243,                0.63962,                 1.1631,                 0.4054,                0.35105,                0.32826,                0.21236,                 1.8487,                 2.7547,                 2.4453,               0.004258,               0.004258,               0.004258
                     31,                0.70078,                0.60517,                 1.1453,                0.39345,                0.32811,                 0.3114,                 0.2067,                 1.7405,                 2.6338,                 2.2849,                0.00406,                0.00406,                0.00406
                     32,                0.69872,                0.60785,                 1.1465,                0.42179,                0.33884,                0.32649,                0.20774,                  1.778,                  2.744,                 2.3346,               0.003862,               0.003862,               0.003862
                     33,                 0.6817,                0.59664,                 1.1358,                0.44811,                0.31493,                0.30047,                0.19782,                 1.9235,                 2.8692,                 2.4834,               0.003664,               0.003664,               0.003664
                     34,                0.68376,                0.58635,                 1.1341,                0.37554,                0.36346,                0.29832,                0.19676,                 1.8913,                 2.9184,                  2.435,               0.003466,               0.003466,               0.003466
                     35,                0.66396,                0.57099,                 1.1233,                0.38913,                0.34829,                0.32262,                0.20538,                 1.8662,                  2.733,                  2.375,               0.003268,               0.003268,               0.003268
                     36,                0.65379,                0.56225,                 1.1245,                 0.4864,                0.30222,                0.30192,                0.19887,                 1.7462,                 2.8544,                 2.3059,                0.00307,                0.00307,                0.00307
                     37,                0.65284,                0.55981,                 1.1227,                0.49247,                0.34454,                0.33261,                0.20936,                 1.7931,                 2.7933,                 2.3229,               0.002872,               0.002872,               0.002872
                     38,                0.63667,                0.54655,                  1.109,                0.35477,                0.35184,                 0.3137,                 0.2002,                 1.7483,                 2.7042,                 2.2576,               0.002674,               0.002674,               0.002674
                     39,                0.63315,                0.53282,                 1.1021,                0.40585,                0.34178,                0.30887,                0.20188,                   1.73,                  2.855,                 2.2741,               0.002476,               0.002476,               0.002476
                     40,                0.62977,                0.41874,                 1.1176,                0.44316,                0.32586,                0.32815,                0.20878,                 1.7733,                 2.7131,                 2.2724,               0.002278,               0.002278,               0.002278
                     41,                0.60341,                0.39525,                 1.0927,                0.39336,                0.37586,                0.33227,                0.21017,                 1.8064,                 2.6963,                 2.2872,                0.00208,                0.00208,                0.00208
                     42,                0.58637,                0.37534,                 1.0766,                0.37681,                0.35063,                0.32204,                0.21305,                 1.6705,                 2.7574,                  2.181,               0.001882,               0.001882,               0.001882
                     43,                  0.568,                0.35914,                 1.0613,                0.41379,                0.36404,                0.33104,                0.21696,                 1.7611,                 2.7643,                 2.1976,               0.001684,               0.001684,               0.001684
                     44,                0.55242,                0.35101,                 1.0513,                0.48893,                0.31569,                0.32821,                0.21581,                 1.7096,                 2.7968,                 2.2714,               0.001486,               0.001486,               0.001486
                     45,                0.54497,                0.34774,                 1.0456,                0.43338,                0.35418,                0.32906,                0.22008,                 1.6787,                 2.7264,                 2.1845,               0.001288,               0.001288,               0.001288
                     46,                0.53568,                 0.3372,                 1.0467,                 0.4259,                0.35361,                0.33223,                0.22081,                 1.6604,                 2.7716,                 2.2031,                0.00109,                0.00109,                0.00109
                     47,                0.52283,                0.32724,                 1.0345,                0.45117,                0.33467,                0.33413,                0.22508,                 1.6529,                 2.7602,                 2.2022,               0.000892,               0.000892,               0.000892
                     48,                0.51053,                0.32071,                 1.0274,                0.51521,                 0.3301,                0.33772,                0.22741,                  1.628,                 2.7755,                 2.1826,               0.000694,               0.000694,               0.000694
                     49,                0.49871,                0.31435,                 1.0112,                0.48632,                0.31555,                0.33384,                0.22305,                 1.6636,                 2.8018,                 2.2152,               0.000496,               0.000496,               0.000496
